路線名稱	公車代碼
0東	0100000A00
0南	0100000B00
952	400095200
953	400095300
953區	400095320
955	100095500
957	100095700
958	415002700
959	415002800
960	415002900
963	400096300
965(台灣好行-九份金瓜石線)	400096500
966	400096600
966副	400096610
966A	400096680
967	400096700
967副	400096710
967直	400096730
981	410098100
982	410098200
982區	410098220
982直達	410098230
982直達新埔線	410098240
983	400098300
1717	100171700
0南	0100000B00
1	100000100
8	400000800
9	100000900
12	100001200
14	100001400
20	100002000
21	100002100
22	100002200
33	100003300
39	100003900
39夜	100003940
41	100004100
49	100004900
51	400005100
57	400005700
62	400006200
63	100006300
66	100006600
72	100007200
88	100008800
88區	100008820
99	400009900
202	100020200
202區	100020220
203	100020300
204	100020400
205	100020500
206	100020600
207	100020700
208	100020800
208區	100020820
208直	100020830
212	100021200
212直	100021230
214	100021400
214直	100021430
215	100021500
224	100022400
226	100022600
227	100022700
231	400023100
234	100023400
235	100023500
236區	100023620
241	400024100
243	400024300
245	400024500
246	100024600
247	100024700
247區	100024720
249	400024900
253	100025300
260	100026000
262	100026200
262區	100026220
264	400026400
267	100026700
268	100026800
270	100027000
270區	100027020
275	400027500
276	100027600
277	100027700
278	100027800
278區	100027820
280	100028000
280直	100028030
281	100028100
282	100028200
284	100028400
287區	100028720
292	100029200
300	100030000
520	400052000
539	100053900
556	100055600
568	100056800
573	400057300
574	400057400
575	400057500
576	400057600
578	454021500
579	454021600
580	454022100
581	454022200
582	454022300
582經洲子洋	400058270
582經工業區	454058290
583	454022500
585	454050200
586	454090600
589	454091200
591	454091800
600	100060000
604	100060400
605	100060500
606	100060600
612	100061200
616	100061600
624	400062400
624綠野香坡	400062470
629	400062900
629區	400062920
630	100063000
635	400063500
636	400063600
637	400063700
638	400063800
638副	400063810
639	400063900
640	400064000
643	100064300
645	100064500
645副	100064510
648	100064800
651	100065100
652	100065200
656	400065600
657	400065700
657延	400065770
658	400065800
660	100066000
660區	100066020
662	100066200
667	400066700
668	100066800
671	100067100
676	100067600
677	400067700
677副	454091600
678	400067800
679	100067900
680	100068000
681	100068100
682	100068200
685	100068500
688	100068800
701	400070100
702	400070200
704	400070400
704區	400070420
705	400070500
706	400070600
707	400027510
711	100071100
712	400071200
712副	400071210
756	100075600
760	400076000
778	400077800
779	400077900
783	400078300
787	400078700
787經瑞芳工業區	400078770
788	400078800
788區	461078820
788海科館	400078870
789	400078900
789區	400078920
790	400079000
790漁港	400079070
791	400079100
791區	400079120
791繞貢寮	400079170
791經貢寮區衛生	400079190
793	400079300
795往木柵(台灣好行-木柵平溪線)	400079570
795往平溪(台灣好行-木柵平溪線)	400079580
795往十分寮(台灣好行-木柵平溪線)	400079500
796	400079600
797	400079700
799	400079900
800	400080000
801	400080100
802	400080200
802區	400080220
803	400080300
805	400080500
806	400080600
810	400081000
811	400081100
812	400081200
813	400081300
813區	400081320
815	400081500
816	400081600
817	400081700
819	400081900
819副	400081910
820	400082000
821	400082100
822	400082200
823	400082300
824	400082400
825	400082500
826	400082600
827	400082700
835	400083500
836	400083600
838	400083800
842	400084200
843	400084300
845	400084500
847	400084700
847區	400084720
849	400084900
849屈尺社區	400084970
853跳蛙	463085300
854	400085400
856(台灣好行-黃金福隆線)	400085600
857	400085700
859	400085900
860	400086000
861	400086100
862	400086200
863	400086300
864	400086400
867區	400086720
869	400086900
875	400087500
876	400087600
878	400087800
878區	400087820
879	400087900
880	400088000
881	400088100
882	400088200
883	400088300
885	400088500
886區	400088620
889	400088900
890	400089000
894	400089400
895	400089500
896	400089600
897	400089700
897區	400089720
899	400089900
902	100090200
902區	100090220
905	100090500
906	400090600
909	400090900
912	100091200
913	400091300
918	400091800
918區	400091820
919	400091900
933	400093300
935	400093500
938	400093800
949	100094900
950	100095000
957	100095700
960	415002900
963	400096300
981	410098100
982	410098200
982區	410098220
982直達	410098230
982直達新埔線	410098240
983	400098300
985萬大樹林先導公車	410098500
藍1	412000100
橘1	415000100
紅2	111000200
棕2	114000200
藍2	412000200
橘2	415000200
綠2右	413000200
綠2左	413000270
藍海2線先導公車	410000200
紅3區	111000320
紅5	111000500
綠5	413000500
橘5	415000500
棕6	114000600
綠6	413000600
紅7	111000700
藍7	112000700
綠7	413000700
棕7	414000700
紅7區	111000720
藍7副	112000710
棕7建業路	414000790
棕7綠野香坡	414000770
綠8	413000800
橘9	415000900
紅10	111001000
藍10	112001000
綠10	413001000
橘10	415001000
紅10區	111001020
通勤11	152003500
紅12	111001200
通勤12	152003600
紅13	411001300
綠13	413001300
橘13	415001300
通勤13	152003700
紅15	111001500
藍15	412001500
綠15	413001500
通勤16	152003800
藍17	412001700
橘17	415001700
藍18	412001800
通勤18	152004500
橘19	415001900
橘19副	415001910
藍20區	112002020
藍21	412002100
通勤21	152004400
藍21副	412002110
紅22	411002200
藍22	412002200
通勤22	152004200
紅23	411002300
藍23	412002300
通勤24	152004700
藍25	112002500
橘25	415002500
通勤25	152004900
紅26	411002600
橘26	415002600
通勤26	152005000
紅27	411002700
通勤27	152005100
紅28	411002800
通勤28	152005200
紅28直	411002830
紅29	111002900
通勤29	152005300
紅31	111003100
藍36	112003600
紅36	411003600
紅37	411003700
藍37	412003700
紅37行經海洋都心社區	411003790
紅38	411003800
藍38	412003800
紅39	411003900
藍39	412003900
藍41	412004100
藍41延和	412004170
藍44	412004400
藍44延	412004470
藍45	412004500
藍46	412004600
紅50	111005000
紅51	411005100
紅53	411005300
中山幹線	161000600
仁愛幹線	161000200
內湖幹線	161000100
北環幹線	100062000
民生幹線	161000300
民權幹線	161001300
和平幹線	161000700
忠孝幹線	161001100
承德幹線	161000900
東環幹線	113001600
松江新生幹線	161000400
信義幹線	161001200
南京幹線	161001400
南環幹線	113000100
重慶幹線	161001000
基隆路幹線	161001500
復興幹線	161000800
敦化幹線	161000500
湯泉-大坪林-湯泉	463003900
雙園巴士	152005400
羅斯福路幹線	161001600
985萬大樹林先導公車	410098500
藍海2線先導公車	410000200
紅2	111000200
紅3	111000300
紅3區	111000320
紅5	111000500
紅7	111000700
紅7區	111000720
紅9	111000900
紅10	111001000
紅10區	111001020
紅12	111001200
紅13	411001300
紅15	111001500
紅19	111001900
紅22	411002200
紅23	411002300
紅25	111002500
紅25區	111002520
紅26	411002600
紅27	411002700
紅28	411002800
紅28直	411002830
紅29	111002900
紅30	111003000
紅31	111003100
紅33	111003300
紅35	111003500
紅35區	111003520
紅36	411003600
紅37	411003700
紅37行經海洋都心社區	411003790
紅38	411003800
紅39	411003900
紅50	111005000
紅51	411005100
紅53	411005300
紅55	111005500
紅55區	111005520
紅57	111005700
紅68	111006800
藍1	412000100
藍2	412000200
藍5	112000500
藍7	112000700
藍7副	112000710
藍10	112001000
藍15	412001500
藍17	412001700
藍18	412001800
藍20區	112002020
藍21	412002100
藍21副	412002110
藍22	412002200
藍23	412002300
藍25	112002500
藍26	112002600
藍27	112002700
藍28	112002800
藍29	112002900
藍31	412003100
藍32	412003200
藍33	412003300
藍35	412003500
藍36	112003600
藍37	412003700
藍38	412003800
藍39	412003900
藍40	412004000
藍41	412004100
藍41延和	412004170
藍43	412004300
藍43延南天母	412004370
藍44	412004400
藍44延	412004470
藍45	412004500
藍46	412004600
藍50	112005000
藍51	112005100
綠2右	413000200
綠2左	413000270
綠3	413000300
綠5	413000500
綠6	413000600
綠7	413000700
綠8	413000800
綠9	413000900
綠9耕莘	413000990
綠9北新國小	413000970
綠10	413001000
綠11	113001100
綠12	413001200
綠13	413001300
綠15	413001500
綠17	113001700
棕1	114000100
棕2	114000200
棕3	114000300
棕5	114000500
棕6	114000600
棕7	414000700
棕7建業路	414000790
棕7綠野香坡	414000770
棕10	114001000
棕11	114001100
棕11副	114001110
棕12	114001200
棕13	114001300
棕15	114001500
